,Unnamed: 0,star_names,distance,mass,radius,luminosity,solar_mass,solar_radius,apparent_magintude,star_gravity
0,0,Sun,0.000015813,1,1,1,0.000954588,0.10276300000000001,0.000−26.74,0
1,1,Sirius,0008.6,25.4,1.71,25.4,0.0242465352,0.0,0.001−1.46,0.0
2,2,Canopus,0310,"13,500",71,13500,0.0,7.296173,0.003−0.74,1.137415359324683e+33
3,3,Alpha Centauri,0004.4,2,1.2,2,0.001909176,0.12331559999999997,0.004−0.27,2.0594621299014957e+32
4,4,Arcturus,0037,170,26,170,0.16227996,2.671838,0.005−0.05,5.616865971973742e+33
5,5,Vega,0025,50,2.7,50,0.047729400000000005,0.2774601,0.03,8.53061519493512e+32
6,6,Capella,0043,150,12,150,0.14318820000000002,1.233156,0.08,0.0
7,7,Rigel,0860,"120,000",78.9,"120,000",0.0,8.1080007,0.13,1.746767521356244e+33
8,8,Procyon,0011.4,7.7,1.9,7.7,0.0073503276,0.1952497,0.34,0.0
9,9,Betelgeuse,0640[1],"60,000",950,"60,000",0.0,97.62485, 0.45,0.0
10,10,Achernar,0144,"3,000",9.3,"3,000",0.0,0.9556959,0.46,0.0
11,11,Hadar,0390,"42,000",8.6,"42,000",0.0,0.8837617999999999,0.61,2.6539691717575916e+33
12,12,Altair,0017,10.5,1.8,10.5,0.010023174,0.1849734,0.76,0.0
13,13,Acrux,0320,"25,000",8.9,"25,000",0.0,0.9145907,0.76,2.1996297031568237e+32
14,14,Aldebaran,0065,520,44,520,0.49638576,4.521572,0.86,0.0
15,15,Antares,0600,"75,000",680,"75,000",0.0,69.87884,0.96,0.0
16,16,Spica,0260,"20,512",7.47,"20,512",0.0,0.7676396099999999,0.97,4.5473114055645866e+32
17,17,Pollux,0034,43,8.8,43,0.041047283999999996,0.9043144000000001,1.14,4.195798881064384e+33
18,18,Fomalhaut,0025,16.6,1.8,16.6,0.015846160800000002,0.1849734,1.16,0.0
19,19,Deneb,"2,600","200,000",203,"200,000",0.0,20.860889,1.25,0.0
20,20,Mimosa,0350,"34,000",8.4,"34,000",0.0,0.8632091999999999,1.25,2.471304131394315e+34
21,21,Regulus,0077,290,3.1,290,0.27683052,0.3185653,1.39,0.0
22,22,Adhara,0430,"39,000",14,"39,000",0.0,1.438682,1.50,0.0
23,23,Shaula,0700,"36,000",8.8,"36,000",0.0,0.9043144000000001,1.62,4.2653075974675585e+33
24,24,Castor,0052,30,2.4,30,0.02863764,0.2466312,1.62,9.517148924961628e+31
25,25,Gacrux,0088,820,84,820,0.78276216,8.632092,1.64,0.0
26,26,Bellatrix,0240,"9,200",5.8,"9,200",0.0,0.5960253999999999,1.64,3.2497581694990937e+34
27,27,Elnath,0130,700,4.2,700,0.6682116,0.43160459999999995,1.65,5.136079736742943e+33
28,28,Miaplacidus,0110,290,6.8,290,0.27683052,0.6987884,1.69,0.0
29,29,Alnilam,"2,000","380,000",42,"380,000",0.0,4.316046,1.69,0.0
30,30,Gamma Velorum,"01,100","170,000",6,"170,000",0.0,0.616578,1.72,1.8419044573147108e+34
31,31,Alnair,0101,260,3.4,260,0.24819288,0.3493942,1.74,5.10676283778429e+33
32,32,Alioth,0081,110,4.2,110,0.10500468,0.43160459999999995,1.77,0.0
33,33,Alnitak,01050,"120,000",20,"120,000",0.0,2.05526,1.77,2.729796862379237e+32
34,34,Dubhe,0120,300,30,300,0.28637640000000003,3.0828900000000004,1.79,0.0
35,35,Mirfak,0590,"5,000",68,"5,000",0.0,6.987883999999998,1.80,0.0
36,36,Wezen,"1,600","82,000",200,"82,000",0.0,20.5526,1.82,0.0
37,37,Sargas,0270,"1,800",26,"1,800",0.0,2.671838,1.84,6.375823121473999e+33
38,38,Kaus Australis,0140,360,6.8,360,0.34365168,0.6987884,1.85,0.0
39,39,Avior,0630,"60,000",130,"60,000",0.0,13.35919,1.86,0.0
40,40,Alkaid,0104,"1,350",3.4,"1,350",0.0,0.3493942,1.86,5.336568042811528e+33
41,41,Menkalinan,081,50,2.77,50,0.047729400000000005,0.28465351,1.90,0.0
42,42,Atria,0390,"5,500",92,"5,500",0.0,9.454196000000001,1.91,9.024121859104916e+33
43,43,Alhena,0109,120,3.3,120,0.11455056,0.3391179,1.92,0.0
44,44,Peacock,0180,"2,200",4.8,"2,200",0.0,0.4932623999999999,1.94,8.763913826901237e+33
45,45,Alsephina[2],0080,90,2.9,90,0.08591292,0.2980127,1.96,0.0
46,46,Mirzam,0500,"27,000",10,"27,000",0.0,1.0276299999999998,1.98,0.0
47,47,Polaris,0430,"2,500",39,"2,500",0.0,4.007757,1.98,2.5550898631869656e+32
48,48,Alphard,0180,780,50,780,0.7445786400000001,5.13815,2.00,0.0
49,49,Scheat,0196,"1,500",95,"1,500",0.0,9.762485,2.42,0.0
50,50,Almaaz,0653,"43,000",140,"43,000",0.0,14.386819999999998,2.98,0.0
51,51,Rasalgethi,0360,"8,300",280,"8,300",0.0,28.77364,3.35,5.340132228282447e+32
52,52,Tau Ceti,011.9,0.52,0.893,0.52,0.0004963857599999999,0.091767359,3.50,6.71261523535878e+32
53,53,Delta Pavonis,019.92,1.22,1.22,1.22,0.00116459736,0.12537086,3.56,5.084720233065783e+32
54,54,Ran,010.48,0.34,0.74,0.34,0.00032455992000000004,0.07604462,3.74,0.0
55,55,V382 Carinae,"08,900","212,000",485,"212,000",0.0,49.840055,3.83,0
56,56,Eta Carinae,"07,500","5,000,000",60881,"5,000,000",0.0,0.0,4,0.0
